Original_Word,translated_words
'ALL-GOOD',????? 
A-Life,a-life 
A-MAN's,a-man's 
AL-FARQ,??-???? 
AL-Falah BD,??-????? ???? 
AL-GARD,??-????? 
AL-HAM Affection,??-??? ??????? 
AL-HEJJAZ OPTICS,??-??????? ???????? 
AL-JAWAHER BRAND,??-????????? ??????? 
AL-KHALIZ COLLECTION,??-????? ??????? 
AL-MANSUR ROYAL CORNER,??-?????? ????? ?????? 
AL-MASUD,??-????? 
AL-MEMAR,??-????? 
AL-MONIR INTERNATIONAL,??-???? ?????????????? 
AL-Masa,??-???? 
AL-NOOR COMPUTER,??-??? ???????? 
AL-QUEED Trading point,??-???? ??????? ?????? 
AL-RUMMAN,??-?????? 
AL-Rahman Electric,??-????? ?????????? 
AL-WAFIEY,??-????????? 
AL-Wasi Fashion Wear,??-?????? ?????? ?????? 
AL-Wasi Trading,??-?????? ??????? 
AL-Wasi Trading (AWT),??-?????? ??????? (awt) 
AL-Wasi Trading (AWT@2020),??-?????? ??????? (awt@2020) 
AL-ZAAFARAN,??-?????? 
ALEXA'S SECRET,??????????? ??????? 
ALEXANDRE J,???????????? ?? 
ALEXIA,????????? 
ALF ZAHRA,??? ?????? 
ALFA BD,???? ???? 
ALFA LINEAR,???? ?????? 
ALFA LINEAR 25mm,???? ?????? 25mm 
ALFA TRADE,???? ????? 
ALFAJR,??? ??? 
ALFREDO,??????? 
ALGS,????? 
ALHA ALFA COSMETIC,???? ???? ???????? 
ALHASA Trade,?????? ????? 
ALI LEATHER.BD,??? ????? ???? 
ALI LIFE,??? ???? 
ALI TRADERS,??? ???????? 
ALI&BOY,????? 
ALI?BOY,ali?boy 
ALICE SEBOLD,??????? ??????? 
ALIDA,????? 
ALIENTEK,?????????????? 
ALIF CAR ENTERPRISE,???? ??? ???????????? 
ALIF ELECTRONICS,???? ????????????? 
ALIF ENTERPRISE Bd,???? ???????????? ???? 
ALIF EXPRESS,???? ????????? 
ALIF FRAGRANCE,???? ???????????? 
ALIF HANDICRAFT,???? ?????????????? 
ALIF LEATHER CORNER,???? ????? ?????? 
ALIF TRADE INTERNATIONAL BD,???? ????? ?????????????? ???? 
ALIF TRADING BD,???? ??????? ???? 
ALIFEDESIGN,??????????? 
ALIM,???? 
ALINK,?????? 
ALINTISAAR,?????????? 
ALISARA,??????? 
ALISHA,????? 
ALIWAWA,??????? 
ALIXIXI,??????????? 
ALIZAH FASHION,?????? ?????? 
ALK,???? 
ALKAFF,??????? 
ALKAUTHAR,????????? 
ALKES,?????? 
ALKHAIR Premium Turkish coffee,?????? ?????????? ??????? ??? 
ALKINLAB,??????????? 
ALKMENE,??????? 
ALL Digital Sheba,?? ??????? ???? 
ALL ETT,?? ????? 
ALL IN EXCLUSIVE,?? ?? ?????????? 
ALL IN ONE SHOP TRADERS,?? ?? ???? ?? ???????? 
ALL IN ONE SHOP ZONE,?? ?? ???? ?? ??? 
ALL IN ONE SUPER SHOPS,?? ?? ???? ????? ??? 
ALL IN ONE TECH SOLUTIONS,?? ?? ???? ??? ?????? 
ALL IN ONE XYZ,?? ?? ???? ???? ???? ??? 
ALL In Learning,?? ?? ????? 
ALL MART NT,?? ????? ??? 
ALL PRODUCT HERE,?? ????????? ???? 
ALL TIME,?? ???? 
ALL TRENDS,?? ???????? 
ALL-ETT,?? ?? 
ALLAN & BARBARA PEASE,?????? ???? ????? ??? 
ALLDOCUBE,???????? 
ALLEGRI,????????? 
ALLEGRINI,??????????? 
ALLERGAN OTC,????????? ????? 
ALLEY,?????? 
ALLGO,???? 
ALLGOOD,????? 
ALLIANCE,???????? 
ALLIANCE PUBLISHING GROUP,???????? ???????? ????? 
