Original_Word,translated_words
Amato,আমাতো 
Amatokin,আমাতকিন 
AMATO-r,amato-r 
Amax,আম্যাক্স 
A-MAX Time,অ্যা - ম্যাক্স টাইম 
AMAXS,আম্যাক্সস 
A-MAXx Time,অ্যা - ম্যাক্স টাইম 
Amaya,আমায়া 
a-mayzing,অ্যা -মাজিং 
Amazan BD,অ্যামাজন বিডি 
Amazan.BD.E-Commerce,অ্যামাজন বিডি ই-কমার্স 
Amaze Shop,অ্যামাজ শপ 
AMAZE STORE,অ্যামাজ স্টোর 
Amazeballs,আমাযেবালস 
AmazedON,আমাযেদন 
Amazer,আমাযের 
Amazeskin,আমাযেস্কিন 
Amazin' Graze,অ্যামাজিন' গ্রায 
Amazing,অ্যামেজিং 
Amazing  Jeans,অ্যামেজিং জিন্‌স 
Amazing Air,অ্যামেজিং এয়ার 
Amazing Ayurveda,অ্যামেজিং আইউরভেদা 
Amazing Bags & Cosmetics,অ্যামেজিং ব্যাগস এন্ড কসমেটিক্স 
Amazing Bazar BD,অ্যামেজিং বাজার বিডি 
Amazing Collection BD,অ্যামেজিং কালেকশন বিডি 
Amazing Comforts,অ্যামেজিং কম্ফরটস 
Amazing Core Fitness,অ্যামেজিং কোর ফিটনেস 
Amazing Fashion,অ্যামেজিং ফ্যাশন 
amazing food,অ্যামেজিং ফুড 
Amazing Fuel saver,অ্যামেজিং ফুয়েল সাভের 
Amazing Gift Shop,অ্যামেজিং গিফট শপ 
Amazing Grass,অ্যামেজিং গ্রাস 
Amazing Holidays,অ্যামেজিং হলিডেস 
Amazing Home,অ্যামেজিং হোম 
Amazing Leggings,অ্যামেজিং লেগিংস 
Amazing Liffe,অ্যামেজিং লিফফে 
Amazing Malay Herbs,অ্যামেজিং মলয় হার্বস 
Amazing Mask,অ্যামেজিং মাস্ক 
Amazing Nutrition,অ্যামেজিং নিউট্রিশন 
AMAZING ONLINE SHOPPING BD,অ্যামেজিং অনলাইন শপিং বিডি 
Amazing Reads,অ্যামেজিং রেয়াদস 
Amazing Thailand,অ্যামেজিং থাইল্যান্ড 
Amazing Traders,অ্যামেজিং ট্রেডারস 
Amazing Travel Gear,অ্যামেজিং ট্রাভেল গিয়ার 
amazingbdshop,অ্যামা্জিংবিডিশপ 
Amazingbox,অ্যামাজিংবক্স 
Amazin'graze,অ্যামাজিনগ্রেজ 
AMAZINGthing,অ্যামাজিংথিং 
AMAZLINEN,অ্যামাজলিনেন 
Amazon ART,আমাজন আর্ট 
AMAZON EXPRESS,আমাজন এক্সপ্রেস 
